latitude,longitude,event_date,elevation,slope,aspect,curvature,landslide_type,state,region,source,landslide,provenance,rain_24h,rain_72h,rain_7d,rain_14d,rainfall_intensity
27.1578,88.5278,2014-01-20,279.0,0.0,0.0,0.0,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.71km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.1,5.4,25.7,0.0
27.1578,88.5278,2014-07-15,279.0,0.0,0.0,0.0,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.71km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,19.4,43.0,90.2,164.2,0.451
27.1578,88.5278,2015-12-10,279.0,0.0,0.0,0.0,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.71km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.9,0.9,7.8,24.6,0.9
27.1578,88.5278,2016-08-05,279.0,0.0,0.0,0.0,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.71km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,3.5,5.6,25.3,443.9,0.625
27.1578,88.5278,2017-02-15,279.0,0.0,0.0,0.0,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.71km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.1,4.1,9.0,0.0
27.1578,88.5833,2014-01-20,1063.0,14.17,270.0,1.6989,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.09km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,1.0,10.1,43.3,120.3,0.099
27.1578,88.5833,2014-07-15,1063.0,14.17,270.0,1.6989,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.09km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,22.2,118.8,307.8,456.7,0.187
27.1578,88.5833,2015-12-10,1063.0,14.17,270.0,1.6989,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.09km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,4.1,4.2,24.8,92.5,0.976
27.1578,88.5833,2016-08-05,1063.0,14.17,270.0,1.6989,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.09km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,12.1,33.8,91.1,635.3,0.358
27.1578,88.5833,2017-02-15,1063.0,14.17,270.0,1.6989,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.09km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.9,1.3,5.2,7.0,0.692
27.1578,88.6389,2014-01-20,724.0,20.31,270.0,2.4917,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (3.81km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.1,5.4,25.7,0.0
27.1578,88.6389,2014-07-15,724.0,20.31,270.0,2.4917,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (3.81km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,19.4,43.0,90.2,164.2,0.451
27.1578,88.6389,2015-12-10,724.0,20.31,270.0,2.4917,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (3.81km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.9,0.9,7.8,24.6,0.9
27.1578,88.6389,2016-08-05,724.0,20.31,270.0,2.4917,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (3.81km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,3.5,5.6,25.3,443.9,0.625
27.1578,88.6389,2017-02-15,724.0,20.31,270.0,2.4917,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (3.81km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.9,1.3,5.2,7.0,0.692
27.1578,88.6944,2014-01-20,1624.0,45.27,270.0,-6.7955,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.01km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.1,4.4,12.5,31.8,0.023
27.1578,88.6944,2014-07-15,1624.0,45.27,270.0,-6.7955,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.01km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,31.3,104.3,218.6,401.5,0.3
27.1578,88.6944,2015-12-10,1624.0,45.27,270.0,-6.7955,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.01km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.8,0.8,7.0,25.5,0.8
27.1578,88.6944,2016-08-05,1624.0,45.27,270.0,-6.7955,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.01km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,35.6,82.2,197.6,613.3,0.433
27.1578,88.6944,2017-02-15,1624.0,45.27,270.0,-6.7955,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.01km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,1.8,2.9,8.5,0.0
27.1578,88.75,2014-01-20,2459.0,15.07,270.0,-1.8121,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.14km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.1,4.4,12.5,31.8,0.023
27.1578,88.75,2014-07-15,2459.0,15.07,270.0,-1.8121,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.14km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,31.3,104.3,218.6,401.5,0.3
27.1578,88.75,2015-12-10,2459.0,15.07,270.0,-1.8121,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.14km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.8,0.8,7.0,25.5,0.8
27.1578,88.75,2016-08-05,2459.0,15.07,270.0,-1.8121,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.14km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,35.6,82.2,197.6,613.3,0.433
27.1578,88.75,2017-02-15,2459.0,15.07,270.0,-1.8121,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.14km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.4,2.3,2.5,6.3,0.174
27.1956,88.25,2014-01-20,1625.0,35.83,97.8,4.5324,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.22km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.5,4.3,13.2,31.3,0.116
27.1956,88.25,2014-07-15,1625.0,35.83,97.8,4.5324,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.22km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,37.6,89.8,190.6,317.7,0.419
27.1956,88.25,2015-12-10,1625.0,35.83,97.8,4.5324,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.22km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,3.1,3.1,12.5,53.3,1.0
27.1956,88.25,2016-08-05,1625.0,35.83,97.8,4.5324,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.22km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,8.3,17.8,57.8,592.5,0.466
27.1956,88.25,2017-02-15,1625.0,35.83,97.8,4.5324,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.22km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,13.1,65.7,159.2,0.0
